step,edge,vehCount,halting,meanSpeed,occupancy,flow_in_veh_s
5,A2A1,0,0,13.89,0.0,0.000000
5,A2B2,0,0,13.89,0.0,0.000000
5,B0A0,0,0,13.89,0.0,0.000000
5,B0B1,0,0,13.89,0.0,0.000000
5,B0C0,0,0,13.89,0.0,0.000000
5,B1A1,1,0,14.101442160905899,0.03687315634218289,0.000000
5,B1B0,0,0,13.89,0.0,0.000000
5,B1B2,1,0,13.885177630360932,0.03687315634218289,0.000000
5,B1C1,0,0,13.89,0.0,0.000000
5,B2A2,0,0,13.89,0.0,0.000000
5,B2B1,1,0,13.958608736588069,0.03687315634218289,0.000000
5,B2C2,0,0,13.89,0.0,0.000000
5,C0B0,0,0,13.89,0.0,0.000000
5,C0C1,0,0,13.89,0.0,0.000000
5,C1B1,0,0,13.89,0.0,0.000000
5,C1C0,0,0,13.89,0.0,0.000000
5,C1C2,0,0,13.89,0.0,0.000000
5,C2B2,1,0,12.978010371977732,0.03581661891117479,0.000000
5,C2C1,0,0,13.89,0.0,0.000000
6,A0A1,0,0,13.89,0.0,0.000000
6,A0B0,0,0,13.89,0.0,0.000000
6,A1A0,2,0,10.070914265867744,0.07163323782234958,1000.000000
6,A1A2,0,0,13.89,0.0,0.000000
6,A1B1,1,0,14.778279356951147,0.03687315634218289,0.000000
6,A2A1,0,0,13.89,0.0,0.000000
6,A2B2,0,0,13.89,0.0,0.000000
6,B0A0,0,0,13.89,0.0,0.000000
6,B0B1,0,0,13.89,0.0,0.000000
6,B0C0,0,0,13.89,0.0,0.000000
6,B1A1,1,0,14.115919199475648,0.03687315634218289,0.000000
6,B1B0,0,0,13.89,0.0,0.000000
6,B1B2,1,0,13.404720187152497,0.03687315634218289,0.000000
6,B1C1,0,0,13.89,0.0,0.000000
6,B2A2,0,0,13.89,0.0,0.000000
6,B2B1,1,0,13.573496392673261,0.03687315634218289,0.000000
6,B2C2,0,0,13.89,0.0,0.000000
6,C0B0,0,0,13.89,0.0,0.000000
6,C0C1,0,0,13.89,0.0,0.000000
6,C1B1,0,0,13.89,0.0,0.000000
6,C1C0,0,0,13.89,0.0,0.000000
6,C1C2,0,0,13.89,0.0,0.000000
6,C2B2,1,0,12.85920413266708,0.03581661891117479,0.000000
6,C2C1,0,0,13.89,0.0,0.000000
7,A0A1,0,0,13.89,0.0,0.000000
7,A0B0,0,0,13.89,0.0,0.000000
7,A1A0,2,0,9.507131689198271,0.07163323782234958,0.000000
7,A1A2,0,0,13.89,0.0,0.000000
7,A1B1,1,0,14.725220606442795,0.03687315634218289,0.000000
7,A2A1,0,0,13.89,0.0,0.000000
7,A2B2,0,0,13.89,0.0,0.000000
7,B0A0,0,0,13.89,0.0,0.000000
7,B0B1,0,0,13.89,0.0,0.000000
7,B0C0,0,0,13.89,0.0,0.000000
7,B1A1,1,0,13.86974349299595,0.03687315634218289,0.000000
7,B1B0,0,0,13.89,0.0,0.000000
7,B1B2,1,0,13.164759241102956,0.03687315634218289,0.000000
7,B1C1,0,0,13.89,0.0,0.000000
7,B2A2,0,0,13.89,0.0,0.000000
7,B2B1,1,0,13.66172763046474,0.03687315634218289,0.000000
7,B2C2,1,0,12.30654,0.03581661891117479,1000.000000
7,C0B0,0,0,13.89,0.0,0.000000
7,C0C1,0,0,13.89,0.0,0.000000
7,C1B1,0,0,13.89,0.0,0.000000
7,C1C0,0,0,13.89,0.0,0.000000
7,C1C2,0,0,13.89,0.0,0.000000
7,C2B2,1,0,12.119525948747329,0.03581661891117479,0.000000
7,C2C1,0,0,13.89,0.0,0.000000
8,A0A1,0,0,13.89,0.0,0.000000
8,A0B0,0,0,13.89,0.0,0.000000
8,A1A0,2,0,9.488599509863235,0.07163323782234958,0.000000
8,A1A2,0,0,13.89,0.0,0.000000
8,A1B1,1,0,14.770689472080461,0.03687315634218289,0.000000
8,A2A1,0,0,13.89,0.0,0.000000
8,A2B2,0,0,13.89,0.0,0.000000
8,B0A0,0,0,13.89,0.0,0.000000
8,B0B1,0,0,13.89,0.0,0.000000
8,B0C0,0,0,13.89,0.0,0.000000
8,B1A1,1,0,13.449259444588424,0.03687315634218289,0.000000
8,B1B0,0,0,13.89,0.0,0.000000
8,B1B2,1,0,12.875357693352498,0.03687315634218289,0.000000
8,B1C1,0,0,13.89,0.0,0.000000
8,B2A2,0,0,13.89,0.0,0.000000
8,B2B1,1,0,14.30044404063505,0.03687315634218289,0.000000
8,B2C2,1,0,11.286208715060688,0.03581661891117479,0.000000
8,C0B0,0,0,13.89,0.0,0.000000
8,C0C1,0,0,13.89,0.0,0.000000
8,C1B1,0,0,13.89,0.0,0.000000
8,C1C0,0,0,13.89,0.0,0.000000
8,C1C2,0,0,13.89,0.0,0.000000
8,C2B2,1,0,11.932096609331936,0.03581661891117479,0.000000
8,C2C1,1,0,13.027431,0.03581661891117479,1000.000000
9,A0A1,0,0,13.89,0.0,0.000000
9,A0B0,0,0,13.89,0.0,0.000000
9,A1A0,2,0,10.55933344048364,0.07163323782234958,0.000000
9,A1A2,0,0,13.89,0.0,0.000000
9,A1B1,1,0,14.253519030464135,0.03687315634218289,0.000000
9,A2A1,0,0,13.89,0.0,0.000000
9,A2B2,0,0,13.89,0.0,0.000000
9,B0A0,0,0,13.89,0.0,0.000000
9,B0B1,0,0,13.89,0.0,0.000000
9,B0C0,0,0,13.89,0.0,0.000000
9,B1A1,1,0,10.477272399638522,0.03687315634218289,0.000000
9,B1B0,0,0,13.89,0.0,0.000000
9,B1B2,1,0,13.428721160290525,0.03687315634218289,0.000000
9,B1C1,0,0,13.89,0.0,0.000000
9,B2A2,0,0,13.89,0.0,0.000000
9,B2B1,2,0,12.581591112008965,0.07374631268436578,1000.000000
9,B2C2,1,0,12.08300449257154,0.03581661891117479,0.000000
9,C0B0,0,0,13.89,0.0,0.000000
9,C0C1,0,0,13.89,0.0,0.000000
9,C1B1,0,0,13.89,0.0,0.000000
9,C1C0,0,0,13.89,0.0,0.000000
9,C1C2,0,0,13.89,0.0,0.000000
9,C2B2,1,0,12.487239733523026,0.03581661891117479,0.000000
9,C2C1,1,0,12.981721889808908,0.03581661891117479,0.000000
10,A0A1,0,0,13.89,0.0,0.000000
10,A0B0,0,0,13.89,0.0,0.000000
10,A1A0,2,0,10.801520051726406,0.07163323782234958,0.000000
10,A1A2,1,0,15.149823000000001,0.03581661891117479,1000.000000
10,A1B1,1,0,13.797982902931302,0.03687315634218289,0.000000
10,A2A1,0,0,13.89,0.0,0.000000
10,A2B2,0,0,13.89,0.0,0.000000
10,B0A0,0,0,13.89,0.0,0.000000
10,B0B1,0,0,13.89,0.0,0.000000
10,B0C0,0,0,13.89,0.0,0.000000
