step,node,flow_in_veh_s,halting_sum,vehCount_sum
21,C1,0.000000,0,3
21,C2,0.000000,0,0
22,A1,0.000000,1,4
22,B0,0.000000,0,2
22,A0,0.000000,0,1
22,A2,0.000000,0,0
22,B1,0.000000,1,3
22,B2,0.000000,1,4
22,C0,0.000000,0,1
22,C1,1000.000000,0,4
22,C2,0.000000,0,0
23,A1,0.000000,1,3
23,B0,1000.000000,0,3
23,A0,0.000000,0,1
23,A2,0.000000,0,0
23,B1,0.000000,1,3
23,B2,1000.000000,1,5
23,C0,1000.000000,0,2
23,C1,0.000000,0,4
23,C2,0.000000,0,0
24,A1,0.000000,1,3
24,B0,0.000000,0,3
24,A0,0.000000,0,1
24,A2,0.000000,0,0
24,B1,1000.000000,2,4
24,B2,2000.000000,2,7
24,C0,0.000000,0,2
24,C1,0.000000,0,4
24,C2,0.000000,0,0
25,A1,1000.000000,1,4
25,B0,0.000000,0,3
25,A0,0.000000,0,1
25,A2,0.000000,0,0
25,B1,0.000000,2,4
25,B2,0.000000,2,7
25,C0,0.000000,0,2
25,C1,0.000000,0,4
25,C2,0.000000,0,0
26,A1,0.000000,2,4
26,B0,0.000000,0,3
26,A0,0.000000,0,1
26,A2,0.000000,0,0
26,B1,0.000000,2,4
26,B2,0.000000,2,7
26,C0,0.000000,0,2
26,C1,0.000000,0,4
26,C2,1000.000000,0,1
27,A1,0.000000,2,4
27,B0,0.000000,0,3
27,A0,0.000000,0,1
27,A2,0.000000,0,0
27,B1,0.000000,2,3
27,B2,0.000000,2,7
27,C0,0.000000,0,2
27,C1,1000.000000,0,5
27,C2,0.000000,0,1
28,A1,0.000000,2,4
28,B0,2000.000000,0,5
28,A0,0.000000,0,1
28,A2,0.000000,0,0
28,B1,0.000000,2,3
28,B2,0.000000,3,7
28,C0,0.000000,0,2
28,C1,0.000000,0,5
28,C2,0.000000,0,1
29,A1,0.000000,2,4
29,B0,0.000000,0,5
29,A0,0.000000,0,1
29,A2,0.000000,0,0
29,B1,0.000000,2,3
29,B2,0.000000,3,7
29,C0,0.000000,0,2
29,C1,1000.000000,0,5
29,C2,0.000000,0,1
30,A1,0.000000,2,4
30,B0,1000.000000,0,6
30,A0,1000.000000,0,2
30,A2,0.000000,0,0
30,B1,0.000000,2,3
30,B2,0.000000,3,7
30,C0,0.000000,0,1
30,C1,0.000000,0,5
30,C2,0.000000,0,1
31,A1,0.000000,3,4
31,B0,0.000000,0,6
31,A0,0.000000,0,2
31,A2,0.000000,0,0
31,B1,0.000000,2,3
31,B2,0.000000,3,7
31,C0,0.000000,0,1
31,C1,1000.000000,1,6
31,C2,0.000000,0,1
32,A1,1000.000000,3,5
32,B0,0.000000,1,6
32,A0,1000.000000,0,2
32,A2,0.000000,0,0
32,B1,0.000000,2,3
32,B2,0.000000,3,7
32,C0,0.000000,0,1
32,C1,0.000000,1,6
32,C2,0.000000,0,1
33,A1,0.000000,3,5
33,B0,0.000000,1,6
33,A0,1000.000000,0,3
33,A2,0.000000,0,0
33,B1,0.000000,2,3
33,B2,0.000000,3,7
33,C0,0.000000,0,1
33,C1,0.000000,1,5
33,C2,0.000000,0,1
34,A1,0.000000,3,5
34,B0,0.000000,1,6
34,A0,0.000000,0,3
34,A2,0.000000,0,0
34,B1,1000.000000,2,4
34,B2,0.000000,3,6
34,C0,0.000000,0,1
34,C1,0.000000,1,5
34,C2,0.000000,0,1
35,A1,0.000000,3,5
35,B0,0.000000,1,6
35,A0,0.000000,0,3
35,A2,0.000000,0,0
35,B1,1000.000000,2,5
35,B2,0.000000,3,6
35,C0,0.000000,0,1
35,C1,1000.000000,1,5
35,C2,0.000000,0,1
36,A1,0.000000,3,5
36,B0,0.000000,1,5
36,A0,0.000000,0,3
36,A2,0.000000,0,0
36,B1,2000.000000,3,7
36,B2,0.000000,3,5
36,C0,0.000000,0,0
36,C1,0.000000,1,5
36,C2,0.000000,0,1
37,A1,0.000000,3,5
37,B0,1000.000000,1,6
37,A0,0.000000,0,3
37,A2,1000.000000,0,1
37,B1,0.000000,3,7
37,B2,0.000000,3,4
37,C0,0.000000,0,0
37,C1,0.000000,1,5
37,C2,0.000000,0,1
38,A1,0.000000,3,4
38,B0,0.000000,1,6
38,A0,2000.000000,0,5
38,A2,0.000000,0,1
38,B1,1000.000000,3,8
38,B2,0.000000,3,4
38,C0,0.000000,0,0
38,C1,0.000000,1,5
38,C2,0.000000,0,0
39,A1,1000.000000,3,5
39,B0,0.000000,1,6
39,A0,0.000000,0,5
39,A2,0.000000,0,1
39,B1,1000.000000,3,9
39,B2,0.000000,3,4
39,C0,0.000000,0,0
39,C1,0.000000,1,4
39,C2,0.000000,0,0
40,A1,0.000000,3,5
40,B0,0.000000,1,5
40,A0,0.000000,0,4
40,A2,0.000000,0,1
40,B1,2000.000000,3,11
40,B2,1000.000000,4,5
40,C0,0.000000,0,0
40,C1,1000.000000,1,5
40,C2,0.000000,0,0
41,A1,0.000000,3,5
41,B0,1000.000000,2,6
41,A0,0.000000,0,4
41,A2,0.000000,0,1
41,B1,0.000000,3,11
41,B2,0.000000,4,5
41,C0,0.000000,0,0
41,C1,0.000000,1,4
41,C2,0.000000,0,0
42,A1,1000.000000,3,6
42,B0,0.000000,2,5
42,A0,1000.000000,0,5
42,A2,0.000000,0,1
42,B1,0.000000,3,11
42,B2,0.000000,4,5
42,C0,1000.000000,0,1
42,C1,0.000000,1,4
42,C2,0.000000,0,0
43,A1,0.000000,3,6
43,B0,0.000000,2,5
43,A0,0.000000,0,4
43,A2,0.000000,0,1
43,B1,2000.000000,3,13
43,B2,0.000000,4,5
43,C0,1000.000000,0,2
43,C1,0.000000,2,4
43,C2,0.000000,0,0
44,A1,0.000000,3,6
44,B0,0.000000,2,5
44,A0,1000.000000,0,5
44,A2,0.000000,0,1
44,B1,0.000000,3,13
44,B2,0.000000,4,5
44,C0,0.000000,0,2
44,C1,0.000000,2,4
44,C2,0.000000,0,0
45,A1,1000.000000,2,5
45,B0,1000.000000,2,5
45,A0,0.000000,0,5
45,A2,0.000000,0,1
45,B1,0.000000,2,11
45,B2,0.000000,3,4
45,C0,0.000000,0,2
45,C1,0.000000,1,3
45,C2,0.000000,0,0
46,A1,0.000000,1,5
46,B0,0.000000,1,5
46,A0,0.000000,0,4
46,A2,0.000000,0,1
46,B1,1000.000000,1,12
46,B2,0.000000,2,4
46,C0,0.000000,0,2
46,C1,1000.000000,1,4
46,C2,0.000000,0,0
47,A1,1000.000000,0,6
47,B0,1000.000000,1,6
47,A0,1000.000000,0,5
47,A2,0.000000,0,0
47,B1,1000.000000,1,13
47,B2,0.000000,1,4
47,C0,0.000000,0,2
47,C1,0.000000,1,4
47,C2,0.000000,0,0
48,A1,0.000000,0,6
48,B0,0.000000,1,6
48,A0,1000.000000,0,6
48,A2,1000.000000,0,1
48,B1,0.000000,1,13
48,B2,1000.000000,0,4
48,C0,0.000000,0,2
48,C1,0.000000,1,4
48,C2,0.000000,0,0
49,A1,1000.000000,1,7
49,B0,0.000000,1,5
49,A0,0.000000,0,5
49,A2,0.000000,0,1
49,B1,0.000000,1,12
49,B2,0.000000,0,4
49,C0,0.000000,0,2
49,C1,0.000000,2,4
49,C2,0.000000,0,0
50,A1,1000.000000,2,8
50,B0,1000.000000,1,6
50,A0,0.000000,0,5
50,A2,1000.000000,0,2
50,B1,1000.000000,2,13
50,B2,0.000000,0,4
50,C0,0.000000,0,2
50,C1,0.000000,2,4
50,C2,0.000000,0,0
51,A1,0.000000,2,8
51,B0,0.000000,1,6
51,A0,0.000000,0,5
51,A2,0.000000,0,2
51,B1,0.000000,2,13
51,B2,0.000000,0,3
51,C0,0.000000,0,2
51,C1,1000.000000,2,4
51,C2,0.000000,0,0
52,A1,0.000000,2,8
52,B0,0.000000,1,6
52,A0,0.000000,0,5
52,A2,0.000000,0,2
52,B1,1000.000000,4,13
52,B2,0.000000,0,3
52,C0,0.000000,0,2
52,C1,1000.000000,2,5
52,C2,0.000000,0,0
53,A1,0.000000,2,8
53,B0,0.000000,1,6
53,A0,0.000000,0,4
53,A2,0.000000,0,2
53,B1,2000.000000,4,15
53,B2,0.000000,0,3
53,C0,0.000000,0,1
53,C1,0.000000,2,5
53,C2,0.000000,0,0
54,A1,0.000000,3,8
54,B0,2000.000000,3,8
54,A0,0.000000,0,4
54,A2,0.000000,0,2
54,B1,0.000000,5,15
54,B2,0.000000,0,3
54,C0,0.000000,0,0
54,C1,1000.000000,2,6
54,C2,1000.000000,0,1
55,A1,1000.000000,3,9
55,B0,0.000000,3,8
55,A0,0.000000,0,3
55,A2,0.000000,0,2
55,B1,0.000000,7,14
55,B2,0.000000,1,2
55,C0,0.000000,0,0
55,C1,0.000000,2,6
55,C2,0.000000,0,1
56,A1,0.000000,4,9
56,B0,2000.000000,3,10
56,A0,0.000000,0,2
56,A2,0.000000,0,2
56,B1,0.000000,8,14
56,B2,0.000000,1,2
56,C0,0.000000,0,0
56,C1,0.000000,2,6
56,C2,0.000000,0,1
57,A1,1000.000000,5,10
57,B0,1000.000000,3,11
57,A0,0.000000,0,2
57,A2,1000.000000,0,3
57,B1,1000.000000,8,15
57,B2,0.000000,1,2
57,C0,0.000000,0,0
57,C1,0.000000,2,6
57,C2,0.000000,0,1
58,A1,0.000000,6,10
58,B0,0.000000,3,11
58,A0,0.000000,0,2
58,A2,0.000000,0,3
58,B1,0.000000,7,15
58,B2,0.000000,1,2
58,C0,0.000000,0,0
58,C1,0.000000,2,6
58,C2,1000.000000,0,2
59,A1,1000.000000,6,11
59,B0,0.000000,4,11
59,A0,0.000000,0,2
59,A2,0.000000,0,2
59,B1,0.000000,7,15
59,B2,1000.000000,1,3
59,C0,0.000000,0,0
59,C1,0.000000,3,6
59,C2,0.000000,0,2
60,A1,0.000000,6,11
60,B0,0.000000,5,11
60,A0,0.000000,0,1
60,A2,0.000000,0,2
60,B1,0.000000,6,14
60,B2,0.000000,1,2
60,C0,0.000000,0,0
60,C1,0.000000,3,6
60,C2,0.000000,0,2
61,A1,2000.000000,6,13
61,B0,0.000000,5,11
61,A0,0.000000,0,0
61,A2,0.000000,0,2
61,B1,1000.000000,5,15
61,B2,0.000000,1,2
61,C0,0.000000,0,0
61,C1,0.000000,3,5
61,C2,0.000000,0,2
62,A1,0.000000,8,13
62,B0,1000.000000,5,12
62,A0,0.000000,0,0
62,A2,0.000000,0,1
62,B1,1000.000000,5,15
62,B2,2000.000000,1,4
62,C0,0.000000,0,0
62,C1,0.000000,3,5
62,C2,0.000000,0,2
63,A1,2000.000000,8,15
63,B0,0.000000,6,12
63,A0,0.000000,0,0
63,A2,1000.000000,0,2
63,B1,0.000000,5,14
63,B2,0.000000,1,4
63,C0,0.000000,0,0
63,C1,0.000000,2,5
63,C2,0.000000,0,2
64,A1,0.000000,8,15
64,B0,1000.000000,6,13
64,A0,0.000000,0,0
64,A2,0.000000,0,2
64,B1,1000.000000,6,15
64,B2,0.000000,1,4
64,C0,0.000000,0,0
64,C1,0.000000,1,5
64,C2,0.000000,0,2
65,A1,0.000000,8,15
65,B0,1000.000000,6,14
65,A0,0.000000,0,0
65,A2,0.000000,0,2
65,B1,1000.000000,6,15
65,B2,0.000000,1,4
65,C0,0.000000,0,0
65,C1,0.000000,3,5
65,C2,0.000000,0,1
66,A1,0.000000,9,15
66,B0,0.000000,6,13
66,A0,0.000000,0,0
66,A2,0.000000,0,2
66,B1,0.000000,6,15
66,B2,0.000000,1,4
66,C0,0.000000,0,0
66,C1,1000.000000,3,6
66,C2,0.000000,0,1
67,A1,0.000000,9,15
67,B0,0.000000,7,13
67,A0,0.000000,0,0
67,A2,1000.000000,0,3
67,B1,1000.000000,7,15
67,B2,1000.000000,1,5
67,C0,0.000000,0,0
67,C1,1000.000000,3,7
67,C2,0.000000,0,1
68,A1,0.000000,9,15
68,B0,0.000000,7,13
68,A0,0.000000,0,0
68,A2,0.000000,0,3
68,B1,0.000000,7,15
68,B2,0.000000,1,5
68,C0,1000.000000,0,1
68,C1,0.000000,2,7
68,C2,0.000000,0,1
69,A1,1000.000000,9,16
69,B0,0.000000,8,12
69,A0,0.000000,0,0
69,A2,0.000000,0,3
69,B1,0.000000,7,15
69,B2,1000.000000,1,5
69,C0,0.000000,0,1
69,C1,0.000000,3,6
69,C2,0.000000,0,0
70,A1,1000.000000,11,16
70,B0,0.000000,8,12
70,A0,0.000000,0,0
70,A2,0.000000,0,2
70,B1,1000.000000,7,15
70,B2,1000.000000,1,6
70,C0,1000.000000,0,2
70,C1,0.000000,3,6
70,C2,0.000000,0,0
71,A1,0.000000,11,16
71,B0,0.000000,8,12
71,A0,0.000000,0,0
71,A2,0.000000,0,2
71,B1,1000.000000,7,16
71,B2,0.000000,1,6
71,C0,0.000000,0,2
71,C1,0.000000,3,6
71,C2,0.000000,0,0
72,A1,0.000000,11,16
72,B0,0.000000,9,12
72,A0,0.000000,0,0
72,A2,0.000000,0,2
72,B1,1000.000000,7,17
72,B2,1000.000000,1,7
72,C0,0.000000,0,2
72,C1,1000.000000,3,6
72,C2,0.000000,0,0
73,A1,0.000000,11,16
73,B0,0.000000,9,12
73,A0,0.000000,0,0
73,A2,0.000000,0,2
73,B1,0.000000,7,16
73,B2,0.000000,1,6
73,C0,1000.000000,0,3
73,C1,0.000000,3,6
73,C2,0.000000,0,0
74,A1,0.000000,12,16
74,B0,0.000000,10,11
74,A0,0.000000,0,0
74,A2,1000.000000,0,3
74,B1,1000.000000,9,17
